Borehole,Model,Date,precipwsnow,PET
Nuttalls Farm,AquiMod,01/01/1961,1.0991607457399368,0.4516129032258064
Nuttalls Farm,AquiMod,02/01/1961,6.845654249191284,0.4516129032258064
Nuttalls Farm,AquiMod,03/01/1961,2.5591180324554443,0.4516129032258064
Nuttalls Farm,AquiMod,04/01/1961,0.0003694285896926,0.4516129032258064
Nuttalls Farm,AquiMod,05/01/1961,3.423119962215424,0.4516129032258064
Nuttalls Farm,AquiMod,06/01/1961,0.0382497215177863,0.4516129032258064
Nuttalls Farm,AquiMod,07/01/1961,4.31446897983551,0.4516129032258064
Nuttalls Farm,AquiMod,08/01/1961,0.0395405316376127,0.4516129032258064
Nuttalls Farm,AquiMod,09/01/1961,6.386644124984741,0.4516129032258064
Nuttalls Farm,AquiMod,10/01/1961,0.0096664065495133,0.4516129032258064
Nuttalls Farm,AquiMod,11/01/1961,0.0043969663965981,0.4516129032258064
Nuttalls Farm,AquiMod,12/01/1961,0.2265721634030342,0.4516129032258064
Nuttalls Farm,AquiMod,13/01/1961,2.913239002227783,0.4516129032258064
Nuttalls Farm,AquiMod,14/01/1961,0.0251163999782875,0.4516129032258064
Nuttalls Farm,AquiMod,15/01/1961,0.000200781141757,0.4516129032258064
Nuttalls Farm,AquiMod,16/01/1961,0.0021871768949495,0.4516129032258064
Nuttalls Farm,AquiMod,17/01/1961,0.0108985089173074,0.4516129032258064
Nuttalls Farm,AquiMod,18/01/1961,0.0089858816063497,0.4516129032258064
Nuttalls Farm,AquiMod,19/01/1961,2.87694776058197,0.4516129032258064
Nuttalls Farm,AquiMod,20/01/1961,4.8141337633132935,0.4516129032258064
Nuttalls Farm,AquiMod,21/01/1961,0.6019964441657066,0.4516129032258064
Nuttalls Farm,AquiMod,22/01/1961,4.935993790626526,0.4516129032258064
Nuttalls Farm,AquiMod,23/01/1961,0.000989529879007,0.4516129032258064
Nuttalls Farm,AquiMod,24/01/1961,1.6691401640400727e-05,0.4516129032258064
Nuttalls Farm,AquiMod,25/01/1961,0.0,0.4516129032258064
Nuttalls Farm,AquiMod,26/01/1961,0.8047044575214386,0.4516129032258064
Nuttalls Farm,AquiMod,27/01/1961,2.031158298254013,0.4516129032258064
Nuttalls Farm,AquiMod,28/01/1961,6.637152791023254,0.4516129032258064
Nuttalls Farm,AquiMod,29/01/1961,0.0720362104475498,0.4516129032258064
Nuttalls Farm,AquiMod,30/01/1961,5.454934358596802,0.4516129032258064
Nuttalls Farm,AquiMod,31/01/1961,5.355790495872498,0.4516129032258064
Nuttalls Farm,AquiMod,01/02/1961,2.804739832878113,0.8214285714285714
Nuttalls Farm,AquiMod,02/02/1961,3.698369264602661,0.8214285714285714
Nuttalls Farm,AquiMod,03/02/1961,3.2894217371940613,0.8214285714285714
Nuttalls Farm,AquiMod,04/02/1961,7.5766438245773315,0.8214285714285714
Nuttalls Farm,AquiMod,05/02/1961,0.6498744636774063,0.8214285714285714
Nuttalls Farm,AquiMod,06/02/1961,2.072431206703186,0.8214285714285714
Nuttalls Farm,AquiMod,07/02/1961,1.8789111971855164,0.8214285714285714
Nuttalls Farm,AquiMod,08/02/1961,2.1147484183311462,0.8214285714285714
Nuttalls Farm,AquiMod,09/02/1961,0.0004509120881266,0.8214285714285714
Nuttalls Farm,AquiMod,10/02/1961,0.0063155564130283,0.8214285714285714
Nuttalls Farm,AquiMod,11/02/1961,1.51875102519989,0.8214285714285714
Nuttalls Farm,AquiMod,12/02/1961,0.0156151848204899,0.8214285714285714
Nuttalls Farm,AquiMod,13/02/1961,0.0005703052338503,0.8214285714285714
Nuttalls Farm,AquiMod,14/02/1961,0.0021611997144646,0.8214285714285714
Nuttalls Farm,AquiMod,15/02/1961,0.0,0.8214285714285714
